siren,denominationUniteLegale,activitePrincipaleUniteLegale,categorieEntreprise,libelle_naf
301940219,SODEXO,56.29B,GE,Autres services de restauration n.c.a.
301986154,SOCIETE COOPERATIVE D'APPROVISIONNEMENT PARIS-EST,46.17A,ETI,Centrales d'achat alimentaires
302079462,NESTLE PURINA PETCARE FRANCE,10.92Z,GE,Fabrication d'aliments pour animaux de compagnie
302178892,REMY COINTREAU,82.99Z,GE,Autres activités de soutien aux entreprises n.c.a.
302181722,CAM NEGOCE,46.21Z,ETI,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
307166934,SCANIA FRANCE,45.19Z,GE,Commerce d'autres véhicules automobiles
307570747,JCDECAUX SE,70.10Z,ETI,Activités des sièges sociaux
307582866,PATHE,70.10Z,ETI,Activités des sièges sociaux
308197185,IPSEN PHARMA,46.46Z,GE,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
308382035,ETAM DEVELOPPEMENT,64.20Z,ETI,Activités des sociétés holding
309214641,SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'ILE DE FRANCE,46.17A,ETI,Centrales d'achat alimentaires
309304616,REXEL FRANCE,46.69A,GE,Commerce de gros (commerce interentreprises) de matériel électrique
322306440,DASSAULT SYSTEMES,58.29C,GE,Edition de logiciels applicatifs
322593203,UFP INTERNATIONAL,46.52Z,ETI,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
334367497,SAMSUNG ELECTRONICS FRANCE,46.52Z,ETI,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
334382298,SCAPALSACE,46.17A,ETI,Centrales d'achat alimentaires
334473352,RELAIS FNAC,47.41Z,GE,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
334851664,VINCI CONSTRUCTION,64.20Z,,Activités des sociétés holding
335092318,ORACLE FRANCE,62.02A,ETI,Conseil en systèmes et logiciels informatiques
335186094,UBISOFT ENTERTAINMENT,58.21Z,GE,Édition de jeux électroniques
335480265,HAVAS,77.40Z,GE,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright"
335480877,ALTAREA,68.20B,GE,Location de terrains et d'autres biens immobiliers
348847062,EURIS,64.30Z,GE,Fonds de placement et entités financières similaires
348867755,GLOBAL BLUE FRANCE,82.99Z,GE,Autres activités de soutien aux entreprises n.c.a.
348940263,SOPRA-GMT,70.10Z,PME,Activités des sièges sociaux
348991555,ZARA FRANCE,47.71Z,GE,Commerce de détail d'habillement en magasin spécialisé
349032946,ROCHER PARTICIPATIONS,64.20Z,GE,Activités des sociétés holding
349039958,BERNARD PARTICIPATIONS,70.10Z,ETI,Activités des sièges sociaux
349505370,SANOFI R&D VACCINS,21.20Z,GE,Fabrication de préparations pharmaceutiques
349577908,COMPAGNIE DES ALPES,70.10Z,GE,Activités des sièges sociaux
349942458,GE ENERGY PRODUCTS FRANCE SNC,28.11Z,GE,"Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules"
350012522,ARIANESPACE PARTICIPATION,64.20Z,GE,Activités des sociétés holding
378901946,WORLDLINE,63.11Z,ETI,"Traitement de données, hébergement et activités connexes"
379041395,FRAMATOME,25.30Z,GE,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
379548001,AUCHAN CARBURANT,47.30Z,GE,Commerce de détail de carburants en magasin spécialisé
379677636,EDF POWER SOLUTIONS,70.10Z,GE,Activités des sièges sociaux
379690167,WENDEL-PARTICIPATIONS SE,64.20Z,GE,Activités des sociétés holding
379706344,KNDS FRANCE,30.40Z,ETI,Construction de véhicules militaires de combat
