siren,date_cloture_exercice,annee_exercice,Chiffre_d_affaires,Resultat_net,marge_nette_clean,croissance_CA_clean,segment_CA,type_bilan,periode_analyse_valide,outlier_financier
383475092,2017-12-31,2017,1796350000,286711000,0.15960753750661064,,Entreprise milliardaire,C,1,0
383475092,2020-12-31,2020,1759628000,257825000,0.14652244678988968,-0.020442564088290142,Entreprise milliardaire,C,1,0
383475092,2021-12-31,2021,1933940000,336852000,0.17417913689152714,0.09906184716315039,Entreprise milliardaire,C,1,0
383475092,2022-12-31,2022,2001089000,306378000,0.15310563398229665,0.03472134606037416,Grande entreprise,C,1,0
383475092,2023-12-31,2023,2146581000,375336000,0.174852940559895,0.07270641135901501,Grande entreprise,C,1,0
383475092,2024-12-31,2024,2407183000,479457000,0.1991776279576584,0.12140329202578426,Grande entreprise,C,1,0
383960135,2019-12-31,2019,1292079000,54420000,0.04211816769717641,,Entreprise milliardaire,C,1,0
383960135,2020-12-31,2020,1500917000,66401000,0.04424028777074282,0.16162943597102034,Entreprise milliardaire,C,1,0
387672421,2023-06-30,2023,1073328848,805719,0.0007506730127503291,,Entreprise milliardaire,C,1,0
387949530,2023-12-31,2023,1071562000,13390000,0.012495777192546955,,Entreprise milliardaire,K,1,0
387949530,2024-12-31,2024,1250908000,2952000,0.002359885778970156,0.1673687570107936,Entreprise milliardaire,K,1,0
388734568,2023-12-31,2023,1022569281,343587,0.00033600363944435763,,Entreprise milliardaire,C,1,0
388734568,2024-12-31,2024,1150630455,8364520,0.007269510348567995,0.12523471649252488,Entreprise milliardaire,C,1,0
390742765,2017-12-31,2017,1068670000,12851000,0.012025227619377356,,Entreprise milliardaire,K,1,0
390742765,2018-12-31,2018,1242071000,0,0.0,0.16225869538772492,Entreprise milliardaire,K,1,0
390742765,2019-12-31,2019,1484574000,5759000,0.0038792273069580903,0.19524085177095352,Entreprise milliardaire,K,1,0
390742765,2020-12-31,2020,1333189000,-13236000,-0.0099280747140878,-0.1019720135203769,Entreprise milliardaire,K,1,0
390742765,2021-12-31,2021,1568922000,18095000,0.011533396816412798,0.17681889064491232,Entreprise milliardaire,K,1,0
395006398,2019-12-31,2019,1101597000,62718000,0.05693370624647671,,Entreprise milliardaire,K,1,0
395006398,2023-12-31,2023,1067425000,35105000,0.032887556502798794,-0.03102041853781374,Entreprise milliardaire,K,1,0
400461950,2016-12-31,2016,1136662466,141098524,0.12413405757694826,,Entreprise milliardaire,C,1,0
400461950,2017-12-31,2017,1022750305,36479985,0.035668515395847276,-0.10021634777900724,Entreprise milliardaire,C,1,0
400461950,2019-12-31,2019,1127272521,283142369,0.2511747281383434,0.10219719856255628,Entreprise milliardaire,C,1,0
400461950,2020-12-31,2020,1097140667,397775785,0.3625567777809844,-0.026729875375007036,Entreprise milliardaire,C,1,0
404494387,2016-12-31,2016,4418723000,1134114000,0.256661030800075,,Grande entreprise,C,1,0
408168003,2016-09-30,2016,5896000000,138500000,0.023490502035278155,,Très grande entreprise,K,1,0
408168003,2017-09-30,2017,6421900000,117100000,0.018234478892539593,0.08919606512890095,Très grande entreprise,K,1,0
408168003,2018-09-30,2018,6694300000,0,0.0,0.04241735311979321,Très grande entreprise,K,1,0
408168003,2019-09-30,2019,4923000000,0,0.0,-0.26459824029398143,Grande entreprise,K,1,0
408168003,2020-09-30,2020,3967000000,-487000000,-0.12276279304260146,-0.1941905342270973,Grande entreprise,K,1,0
408168003,2021-09-30,2021,3690000000,-106000000,-0.02872628726287263,-0.06982606503655155,Grande entreprise,K,1,0
408168003,2022-09-30,2022,4451000000,-440000000,-0.09885419006964727,0.2062330623306233,Grande entreprise,K,1,0
408168003,2023-09-30,2023,5223000000,-97000000,-0.018571702086923225,0.17344416984947203,Très grande entreprise,K,1,0
408168003,2024-09-30,2024,6053000000,0,0.0,0.15891250239326057,Très grande entreprise,K,1,0
411096290,2021-12-31,2021,1434299433,24952446,0.017396957306055075,,Entreprise milliardaire,C,1,0
411096290,2022-12-31,2022,1641994721,28227378,0.017190906669181674,0.1448060866660051,Entreprise milliardaire,C,1,0
411096290,2023-12-31,2023,1222631160,18749422,0.015335305211753313,-0.25539884850823463,Entreprise milliardaire,C,1,0
411096290,2024-12-31,2024,1241945113,18482083,0.014881561839198606,0.01579703972210229,Entreprise milliardaire,C,1,0
421343369,2017-01-31,2017,1354878215,232855506,0.1718645287982581,,Entreprise milliardaire,C,1,0
421343369,2018-01-31,2018,1003706123,34584502,0.03445680085783436,-0.2591908911901724,Entreprise milliardaire,C,1,0
421343369,2020-01-31,2020,1008413904,-114642675,-0.11368613080923962,0.0046903978088016504,Entreprise milliardaire,C,1,0
421343369,2021-01-31,2021,1105325507,48087824,0.0435055770408454,0.09610300157067252,Entreprise milliardaire,C,1,0
421343369,2022-01-31,2022,1135557241,72366846,0.06372804768192218,0.027350978339451278,Entreprise milliardaire,C,1,0
421343369,2023-01-31,2023,1554100660,128863991,0.08291869009308574,0.36857976321072133,Entreprise milliardaire,C,1,0
421343369,2024-01-31,2024,2755457411,308628333,0.11200620694333062,0.7730237699017514,Grande entreprise,K,1,0
428706204,2020-12-31,2020,1405000000,18000000,0.012811387900355872,,Entreprise milliardaire,C,1,0
428706204,2021-12-31,2021,1490000000,151000000,0.10134228187919463,0.060498220640569395,Entreprise milliardaire,C,1,0
428706204,2022-12-31,2022,1336000000,12000000,0.008982035928143712,-0.10335570469798658,Entreprise milliardaire,C,1,0
439067612,2016-12-31,2016,1356541144,427573,0.00031519353606867086,,Entreprise milliardaire,C,1,0
439067612,2017-12-31,2017,1476974123,3805507,0.0025765563124899786,0.08877945172004308,Entreprise milliardaire,C,1,0
439067612,2018-12-31,2018,1457922734,22396545,0.015361956074690031,-0.012898932150079383,Entreprise milliardaire,C,1,0
439067612,2019-12-31,2019,1867417152,57072728,0.030562388237076663,0.28087525384592843,Entreprise milliardaire,C,1,0
439067612,2020-12-31,2020,1677371790,61305099,0.03654830692007763,-0.10176909952683137,Entreprise milliardaire,C,1,0
439067612,2021-12-31,2021,1918204235,98283269,0.05123712439306548,0.14357725963663667,Entreprise milliardaire,C,1,0
439067612,2022-12-31,2022,2285637497,84859158,0.03712712891321628,0.19155064684757095,Grande entreprise,C,1,0
439067612,2023-12-31,2023,2560913270,127781628,0.04989689791407891,0.12043719678265324,Grande entreprise,C,1,0
439067612,2024-12-31,2024,2774900252,109510664,0.039464720910623925,0.08355885554843488,Grande entreprise,C,1,0
